leaf pic number,pixel/50cm,pixel/cm,diagonal length,diagonal.length.cm,area.cm.2,area (pixels),length cm/ area c^2,,Ht (px),Width (px),Est.area,Est.emp
6556,2121,42.42,2933,69.14191419,672.6942648,1210484,4.360078796,2933,1280,2932,630.28679,599.8042134
6559,1767,35.34,2820,79.79626486,1017.045507,1270204,2.772737286,,973,2797,788.8970219,744.7211199
6561,1761,35.22,2522,71.60704145,1207.652007,1498030,2.088349943,,1287,2495,665.8354156,632.3873198
6563,2022,40.44,2805,69.3620178,957.3420123,1565631,2.929987365,,1466,2965,633.4320911,602.6897357
6564,2373,47.46,2218,46.73409187,258.738079,582795,8.572375619,,1102,2378,341.2838176,332.0068544
6566,1833,36.66,2634,71.84942717,973.6779995,1308580,2.705206445,,1570,2537,669.368721,635.6224063
6568,1803,36.06,3050,84.58125347,1248.396938,1623320,2.443133196,,1275,3137,864.2351944,813.1748095
6570,1905,38.1,2958,77.63779528,657.6125819,954597,4.49808912,,831,2785,755.7320882,714.5136385
6572,2082,41.64,2562,61.52737752,545.2653964,945430,4.698629359,,838,2531,525.0179615,502.9134966
6573,1966,39.32,2964,75.38148525,503.9233863,779097,5.881846488,,602,2990,721.6177112,683.3916721
6574,2077,41.54,2683,64.58834858,593.2828287,1023752,4.522295051,,1003,2620,566.4984209,541.1688776
6575,2205,44.1,2847,64.55782313,638.783223,1242312,4.456911042,,1128,3213,566.0791491,540.7827193
6576,2322,46.44,1498,32.25667528,111.3724395,240194,13.45036534,,609,1529,190.9568523,189.677405
6577,2019,40.38,2958,73.25408618,754.8742616,1230856,3.918533391,,1089,2914,689.9774187,654.4795803
6578,2148,42.96,2898,67.45810056,447.0687947,825093,6.482223842,,516,2870,606.4129217,577.8851091
6579,2073,41.46,2232,53.83502171,229.3936536,394312,9.729998913,,536,2527,425.9210072,411.0626216
6580,1971,39.42,2978,75.54540842,488.6113743,759271,6.094823323,,547,2939,724.0769305,685.6369131
6582,1974,39.48,2677,67.8064843,444.3556508,692604,6.024453599,,630,2900,611.3250925,582.3975684
6583,2004,40.08,2784,69.46107784,609.0799937,978430,4.570828181,,732,2749,634.8495144,603.9899221
6584,1953,39.06,2791,71.45417307,618.2599066,943269,4.514282699,,1022,2735,663.6105006,630.3498768
6585,1950,39,2557,65.56410256,579.556213,881505,4.411996529,,596,2613,579.9595508,553.5614556
6586,2370,47.4,2291,48.33333333,227.8343036,511889,10.05555337,,744,2315,359.7513912,349.3112627
6587,1992,39.84,2898,72.74096386,287.8620405,456902,10.06732251,,398,2851,682.4228756,647.5694731
6588,1941,38.82,2946,75.88871716,559.2722299,842819,5.267559951,,601,2853,729.2371327,690.3472343
6589,2064,41.28,2019,48.90988372,262.5028873,447315,7.691343974,,628,2046,366.4951473,355.6222389
6590,2088,41.76,2007,48.06034483,271.9311042,474220,7.380545914,,433,2441,356.5741385,346.3364433
6592,2637,52.74,2492,47.25066363,154.9997562,431133,16.07744464,,437,2498,347.2105388,337.5638627
6593,2661,53.22,2820,52.98759865,255.5525616,723819,11.03491189,,579,3009,415.4673672,401.3313626
6594,2043,40.86,2503,61.25795399,327.8969843,547437,7.63349503,,455,2527,521.4217151,499.5918625
6595,2277,45.54,2188,48.04567413,173.8485271,360543,12.5856689,,418,2160,356.4036781,346.1768166
6596,2193,43.86,2363,53.87596899,208.3786886,400858,11.33993123,,317,2344,426.4285001,411.5348253
6597,2124,42.48,2585,60.85216573,368.5532973,665073,7.01391093,,678,2637,516.022168,494.6030834
6599,2373,47.46,3169,66.77201854,318.097845,716500,9.962343504,,646,3092,596.7812096,569.0333273
14,,78.74,2228,28.29565659,144.6402893,896768,0.195627765,,,,155.5316357,155.6312701
15,,78.74,1320,16.76403353,93.06292806,576989,0.180136536,,,,68.51045715,70.60111606
17,,78.74,1964,24.94284989,134.5617207,834281,0.185363636,,,,127.6533351,128.6437141
18,,78.74,1577,20.02794006,89.06872652,552225,0.224859396,,,,90.52279869,92.35720625
19,,78.74,997,12.66192532,58.93608561,365403,0.214841641,,,,44.14386257,46.2141127
21,,78.74,1089,13.83032766,61.44818741,380978,0.225072996,,,,50.68821989,52.80280923
22,,78.74,559,7.099314199,17.59503519,109089,0.403483944,,,,17.83652915,19.29020132
24,,78.74,1333,16.92913386,50.43945572,312724,0.335632762,,,,69.57015235,71.65367275
25,,78.74,1107,14.05892812,41.84540627,259441,0.335973034,,,,52.00654205,54.12623737